"","voting","combined_fips","region","sex","metsize","educnew","incomenew","racenew","classic_music","opera","play","dance_perfom","ballet","livemusperf","museum","books","cinema","sport"
"1",5,1003,3,2,0,2,3,1,999,999,999,999,999,999,999,999,999,999
"2",5,1003,3,2,0,3,3,1,999,999,999,999,999,1,999,999,999,999
"3",5,1003,3,1,0,3,2,1,2,2,2,2,2,999,1,2,2,2
"4",5,1003,3,1,0,2,5,1,1,2,2,2,2,999,1,1,999,999
"5",5,1003,3,2,0,3,4,1,999,999,999,999,999,999,999,999,999,999
"6",5,1003,3,2,0,3,3,1,2,2,2,1,2,999,2,1,999,999
"7",5,1003,3,1,0,2,5,1,999,999,999,999,999,999,999,999,999,999
"8",5,1003,3,1,0,1,1,1,999,999,999,999,999,1,999,999,2,2
"9",5,1003,3,2,0,3,5,1,999,999,999,999,999,1,999,999,1,1
"10",5,1003,3,1,0,2,2,1,999,999,999,999,999,2,999,999,1,2
"11",5,1003,3,1,0,3,5,1,1,2,2,2,2,999,1,1,999,999
"12",5,1003,3,1,0,3,3,1,999,999,999,999,999,1,999,999,999,999
"13",5,1003,3,2,0,2,5,2,999,999,999,999,999,999,999,999,999,999
"14",5,1003,3,2,0,1,1,1,2,2,2,2,2,999,2,1,2,2
"15",5,1003,3,2,0,2,1,4,999,999,999,999,999,2,999,999,999,999
"16",5,1003,3,1,0,2,1,2,999,999,999,999,999,1,999,999,999,999
"17",5,1003,3,1,0,1,2,1,2,2,2,2,2,999,2,2,999,999
"18",5,1003,3,1,0,3,4,1,999,999,999,999,999,2,999,999,2,2
"19",5,1003,3,1,0,3,3,1,999,999,999,999,999,999,999,999,999,999
"20",5,1003,3,2,0,3,2,1,2,2,2,2,2,999,2,1,2,2
"21",5,1003,3,1,0,3,5,2,999,999,999,999,999,2,999,999,1,2
"22",5,1003,3,2,0,2,2,1,999,999,999,999,999,999,999,999,999,999
"23",5,1003,3,1,0,1,5,2,999,999,999,999,999,2,999,999,2,2
"24",5,1003,3,1,0,3,3,1,2,2,2,2,2,999,2,2,1,1
"25",5,1003,3,1,0,1,3,1,2,2,2,2,2,999,2,2,999,999
"26",5,1003,3,1,0,3,3,1,999,999,999,999,999,999,999,999,999,999
"27",5,1003,3,2,0,1,2,1,999,999,999,999,999,999,999,999,999,999
"28",5,1003,3,1,0,2,2,1,999,999,999,999,999,2,999,999,2,2
"29",5,1003,3,1,0,1,1,1,999,999,999,999,999,999,999,999,999,999
"30",5,1003,3,2,0,2,2,1,2,2,2,2,2,999,2,1,999,999
"31",5,1003,3,2,0,1,1,1,999,999,999,999,999,2,999,999,2,2
"32",5,1003,3,2,0,1,1,1,999,999,999,999,999,999,999,999,999,999
"33",5,1003,3,2,0,3,5,1,999,999,999,999,999,999,999,999,999,999
"34",5,1003,3,2,0,2,4,1,1,2,2,2,2,999,2,1,999,999
"35",5,1003,3,2,0,1,1,1,2,2,2,2,2,999,2,1,999,999
"36",5,1003,3,2,0,2,1,1,999,999,999,999,999,999,999,999,999,999
"37",5,1003,3,1,0,2,4,1,999,999,999,999,999,999,999,999,999,999
"38",5,1015,3,1,2,1,3,1,2,2,2,2,2,999,2,2,2,1
"39",5,1015,3,2,2,2,1,1,2,2,2,2,2,999,2,1,1,2
"40",5,1015,3,1,2,3,2,1,999,999,999,999,999,2,999,999,1,2
"41",5,1015,3,2,2,1,4,1,999,999,999,999,999,2,999,999,2,2
"42",5,1015,3,1,2,1,4,1,999,999,999,999,999,2,999,999,2,1
"43",5,1015,3,2,2,2,1,1,2,2,2,2,2,999,2,1,1,1
"44",5,1015,3,1,2,3,3,1,1,2,2,2,2,999,2,1,999,999
"45",5,1015,3,2,2,2,2,1,2,2,2,2,2,999,2,1,2,2
"46",5,1015,3,1,2,1,2,2,999,999,999,999,999,999,999,999,999,999
"47",5,1015,3,2,2,3,1,1,2,2,2,1,2,999,2,1,999,999
"48",5,1015,3,2,2,2,4,1,999,999,999,999,999,999,999,999,999,999
"49",5,1015,3,2,2,2,3,1,999,999,999,999,999,999,999,999,999,999
"50",5,1015,3,2,2,3,2,1,999,999,999,999,999,999,999,999,999,999
"51",5,1015,3,1,2,1,2,2,999,999,999,999,999,999,999,999,999,999
"52",5,1015,3,2,2,2,3,1,999,999,999,999,999,999,999,999,999,999
"53",5,1015,3,2,2,1,1,2,2,2,2,2,2,999,2,1,999,999
"54",5,1015,3,2,2,2,1,1,2,2,2,2,2,999,1,1,999,999
"55",5,1015,3,1,2,1,2,1,999,999,999,999,999,999,999,999,999,999
"56",5,1015,3,2,2,3,2,2,999,999,999,999,999,1,999,999,1,2
"57",5,1015,3,1,2,1,2,2,2,2,2,2,2,999,2,2,999,999
"58",5,1015,3,2,2,1,2,2,1,2,2,2,2,999,2,1,999,999
"59",5,1015,3,1,2,2,2,1,2,2,2,2,2,999,2,1,999,999
"60",3,1073,3,2,5,2,1,2,2,2,2,2,2,999,999,999,999,999
