"","class","voting","sex","educnew","incomenew","racenew"
"1",2,"60%>rep>10%","Female",3,3,"White"
"2",1,"60%>rep>10%","Male",3,2,"White"
"3",3,"60%>rep>10%","Male",2,5,"White"
"4",2,"60%>rep>10%","Female",3,3,"White"
"5",1,"60%>rep>10%","Male",1,1,"White"
"6",2,"60%>rep>10%","Female",3,5,"White"
"7",1,"60%>rep>10%","Male",2,2,"White"
"8",3,"60%>rep>10%","Male",3,5,"White"
"9",2,"60%>rep>10%","Male",3,3,"White"
"10",1,"60%>rep>10%","Female",1,1,"White"
"11",1,"60%>rep>10%","Female",2,1,"Other race"
"12",2,"60%>rep>10%","Male",2,1,"Black"
"13",1,"60%>rep>10%","Male",1,2,"White"
"14",1,"60%>rep>10%","Male",3,4,"White"
"15",1,"60%>rep>10%","Female",3,2,"White"
"16",1,"60%>rep>10%","Male",3,5,"Black"
"17",1,"60%>rep>10%","Male",1,5,"Black"
"18",2,"60%>rep>10%","Male",3,3,"White"
"19",1,"60%>rep>10%","Male",1,3,"White"
"20",1,"60%>rep>10%","Male",2,2,"White"
"21",2,"60%>rep>10%","Female",2,2,"White"
"22",1,"60%>rep>10%","Female",1,1,"White"
"23",2,"60%>rep>10%","Female",2,4,"White"
"24",2,"60%>rep>10%","Female",1,1,"White"
"25",1,"60%>rep>10%","Male",1,3,"White"
"26",2,"60%>rep>10%","Female",2,1,"White"
"27",1,"60%>rep>10%","Male",3,2,"White"
"28",1,"60%>rep>10%","Female",1,4,"White"
"29",1,"60%>rep>10%","Male",1,4,"White"
"30",2,"60%>rep>10%","Female",2,1,"White"
"31",2,"60%>rep>10%","Male",3,3,"White"
"32",1,"60%>rep>10%","Female",2,2,"White"
"33",2,"60%>rep>10%","Female",3,1,"White"
"34",2,"60%>rep>10%","Female",1,1,"Black"
"35",2,"60%>rep>10%","Female",2,1,"White"
"36",2,"60%>rep>10%","Female",3,2,"Black"
"37",1,"60%>rep>10%","Male",1,2,"Black"
"38",2,"60%>rep>10%","Female",1,2,"Black"
"39",2,"60%>rep>10%","Male",2,2,"White"
"40",1,"dem<10%","Female",2,1,"Black"
"41",1,"dem<10%","Male",2,1,"Black"
"42",1,"dem<10%","Female",2,3,"Black"
"43",1,"dem<10%","Male",1,1,"Black"
"44",2,"dem<10%","Female",2,2,"White"
"45",3,"dem<10%","Male",3,3,"White"
"46",1,"dem<10%","Male",1,2,"White"
"47",1,"dem<10%","Female",1,1,"Black"
"48",1,"dem<10%","Male",1,2,"White"
"49",2,"dem<10%","Female",3,3,"Black"
"50",1,"dem<10%","Female",2,1,"Black"
"51",2,"dem<10%","Male",3,4,"White"
"52",1,"dem<10%","Female",1,1,"Black"
"53",2,"dem<10%","Female",3,2,"Black"
"54",1,"dem<10%","Female",1,1,"Black"
"55",2,"dem<10%","Female",2,2,"Black"
"56",1,"dem<10%","Female",2,1,"Black"
"57",1,"dem<10%","Female",2,1,"Black"
"58",2,"dem<10%","Female",2,1,"White"
"59",1,"dem<10%","Female",2,3,"Black"
"60",1,"dem<10%","Female",1,1,"Black"
"61",2,"dem<10%","Male",2,3,"Black"
"62",2,"60%>rep>10%","Female",1,3,"White"
"63",1,"60%>rep>10%","Male",3,3,"White"
"64",1,"60%>rep>10%","Male",1,1,"Black"
"65",2,"60%>rep>10%","Female",3,2,"White"
"66",1,"60%>rep>10%","Male",3,3,"White"
"67",1,"60%>rep>10%","Male",1,1,"Black"
"68",1,"60%>rep>10%","Female",2,1,"Black"
"69",3,"60%>rep>10%","Male",3,2,"Black"
"70",1,"60%>rep>10%","Female",3,5,"White"
"71",1,"60%>rep>10%","Female",2,2,"Black"
"72",1,"60%>rep>10%","Female",3,3,"White"
"73",1,"60%>rep>10%","Female",1,2,"Black"
"74",1,"60%>rep>10%","Male",2,1,"Black"
"75",1,"60%>rep>10%","Male",3,3,"White"
"76",1,"60%>rep>10%","Male",1,2,"White"
"77",1,"60%>rep>10%","Female",3,5,"White"
"78",2,"60%>rep>10%","Female",1,1,"White"
"79",1,"60%>rep>10%","Female",1,1,"White"
"80",1,"60%>rep>10%","Female",1,1,"Black"
"81",2,"60%>rep>10%","Female",1,2,"White"
"82",1,"60%>rep>10%","Male",1,2,"Black"
"83",1,"60%>rep>10%","Male",1,1,"Black"
"84",1,"60%>rep>10%","Female",3,2,"Black"
"85",1,"60%>rep>10%","Male",2,1,"Black"
"86",1,"60%>rep>10%","Male",2,4,"White"
"87",1,"60%>rep>10%","Female",2,2,"White"
"88",3,"60%>rep>10%","Female",3,2,"White"
"89",1,"60%>rep>10%","Female",3,4,"Black"
"90",1,"60%>rep>10%","Female",2,3,"White"
"91",1,"60%>rep>10%","Female",2,1,"White"
"92",1,"60%>rep>10%","Female",1,1,"White"
"93",1,"60%>rep>10%","Female",1,2,"White"
"94",3,"60%>rep>10%","Male",3,2,"White"
"95",3,"60%>rep>10%","Male",3,2,"White"
"96",2,"60%>rep>10%","Female",1,1,"White"
"97",1,"60%>rep>10%","Female",1,2,"White"
"98",2,"60%>rep>10%","Male",2,4,"White"
"99",2,"60%>rep>10%","Male",2,4,"White"
"100",1,"60%>rep>10%","Male",1,1,"White"
"101",1,"60%>rep>10%","Male",1,1,"White"
"102",1,"60%>rep>10%","Female",1,1,"White"
"103",1,"60%>rep>10%","Female",3,2,"White"
"104",1,"60%>rep>10%","Male",2,1,"White"
"105",2,"60%>rep>10%","Female",2,4,"White"
"106",1,"60%>rep>10%","Female",1,2,"White"
"107",3,"60%>rep>10%","Male",3,2,"White"
"108",1,"60%>rep>10%","Male",2,1,"White"
"109",2,"rep<10%","Female",2,1,"White"
"110",1,"rep<10%","Female",1,2,"White"
"111",2,"rep<10%","Male",3,4,"White"
"112",2,"rep<10%","Female",1,2,"White"
"113",1,"rep<10%","Female",1,2,"Asian"
"114",1,"rep<10%","Male",2,2,"White"
"115",1,"rep<10%","Male",3,1,"White"
"116",1,"rep<10%","Female",2,1,"White"
"117",2,"rep<10%","Male",3,4,"White"
"118",2,"rep<10%","Male",3,3,"White"
"119",1,"rep<10%","Female",2,2,"White"
"120",2,"rep<10%","Male",3,4,"White"
"121",2,"rep<10%","Female",3,2,"White"
"122",2,"rep<10%","Female",3,4,"White"
"123",1,"rep<10%","Female",2,3,"White"
"124",2,"rep<10%","Male",2,2,"White"
"125",2,"rep<10%","Male",1,2,"White"
"126",1,"rep<10%","Male",2,1,"White"
"127",1,"rep<10%","Female",2,4,"White"
"128",1,"rep<10%","Female",3,1,"White"
"129",1,"rep<10%","Female",1,3,"White"
"130",2,"rep<10%","Female",3,2,"White"
"131",2,"rep<10%","Female",3,4,"White"
"132",2,"rep<10%","Male",3,4,"White"
"133",2,"rep<10%","Female",3,3,"White"
"134",1,"rep<10%","Female",3,3,"Asian"
"135",2,"rep<10%","Male",1,1,"White"
"136",1,"rep<10%","Male",2,3,"White"
"137",2,"rep<10%","Male",2,2,"White"
"138",1,"rep<10%","Male",3,3,"White"
"139",1,"rep<10%","Female",1,3,"White"
"140",1,"rep<10%","Female",1,2,"White"
"141",1,"rep<10%","Female",2,4,"White"
"142",1,"rep<10%","Female",1,1,"White"
"143",2,"rep<10%","Male",1,5,"White"
"144",2,"rep<10%","Male",3,5,"White"
"145",3,"rep<10%","Female",2,3,"White"
"146",1,"rep<10%","Female",1,2,"White"
"147",1,"rep<10%","Female",2,1,"Other race"
"148",1,"rep<10%","Female",1,2,"White"
"149",1,"rep<10%","Female",2,4,"White"
"150",2,"rep<10%","Female",3,3,"White"
"151",1,"rep<10%","Male",1,2,"White"
"152",1,"rep<10%","Female",2,1,"White"
"153",1,"rep<10%","Female",3,5,"White"
"154",2,"rep<10%","Female",1,2,"White"
"155",1,"rep<10%","Male",1,2,"White"
"156",2,"rep<10%","Male",2,3,"White"
"157",1,"rep<10%","Male",2,3,"White"
"158",2,"rep<10%","Female",3,4,"White"
"159",2,"rep<10%","Female",2,5,"White"
"160",2,"rep<10%","Male",1,3,"White"
"161",2,"rep<10%","Female",2,2,"White"
"162",1,"rep<10%","Female",3,2,"White"
"163",1,"rep<10%","Male",3,2,"White"
"164",2,"rep<10%","Female",2,2,"White"
"165",2,"rep<10%","Male",3,3,"White"
"166",2,"rep<10%","Female",3,4,"White"
"167",1,"rep<10%","Male",1,1,"White"
"168",1,"rep<10%","Male",1,1,"White"
"169",2,"rep<10%","Female",2,1,"White"
"170",2,"rep<10%","Female",2,1,"White"
"171",2,"rep<10%","Male",2,2,"White"
"172",1,"rep<10%","Male",2,4,"White"
"173",2,"rep<10%","Male",2,3,"White"
"174",1,"rep<10%","Male",1,1,"White"
"175",2,"rep<10%","Female",1,2,"Black"
"176",1,"rep<10%","Female",2,2,"Asian"
"177",2,"rep<10%","Male",1,1,"White"
"178",1,"rep<10%","Male",2,4,"White"
"179",2,"rep<10%","Male",3,2,"White"
"180",1,"rep<10%","Male",2,3,"White"
"181",2,"rep<10%","Female",2,2,"White"
"182",1,"rep<10%","Male",3,2,"White"
"183",1,"rep<10%","Female",2,1,"White"
"184",1,"rep<10%","Female",2,1,"White"
"185",1,"rep<10%","Male",1,2,"Black"
"186",1,"rep<10%","Male",1,1,"White"
"187",1,"rep<10%","Male",1,1,"White"
"188",2,"rep<10%","Female",2,2,"White"
"189",1,"rep<10%","Male",1,1,"White"
"190",2,"rep<10%","Female",1,3,"Asian"
"191",1,"rep<10%","Male",1,2,"White"
"192",1,"rep<10%","Male",2,2,"White"
"193",2,"rep<10%","Female",3,3,"White"
"194",2,"rep<10%","Female",3,4,"White"
"195",2,"rep<10%","Female",2,2,"White"
"196",1,"rep<10%","Female",3,1,"White"
"197",1,"rep<10%","Female",2,1,"White"
"198",2,"rep<10%","Female",1,1,"White"
"199",2,"rep<10%","Female",2,1,"White"
"200",1,"rep<10%","Male",1,2,"White"
"201",2,"rep<10%","Male",2,1,"Other race"
"202",1,"rep<10%","Male",2,1,"Black"
"203",1,"rep<10%","Male",2,3,"White"
"204",2,"rep<10%","Female",2,2,"White"
"205",2,"rep<10%","Male",2,4,"White"
"206",1,"rep<10%","Female",1,4,"White"
"207",3,"rep<10%","Female",1,2,"White"
"208",1,"rep<10%","Male",3,4,"White"
"209",1,"rep<10%","Male",1,1,"Black"
"210",2,"rep<10%","Male",2,3,"White"
"211",1,"rep<10%","Female",1,3,"White"
"212",2,"rep<10%","Female",3,1,"White"
"213",2,"rep<10%","Female",2,3,"White"
"214",1,"rep<10%","Female",2,1,"White"
"215",2,"rep<10%","Female",3,3,"White"
"216",1,"rep<10%","Male",1,2,"White"
"217",3,"rep<10%","Male",3,4,"White"
"218",2,"rep<10%","Female",3,2,"White"
"219",1,"rep<10%","Male",3,2,"White"
"220",3,"rep<10%","Female",2,2,"White"
"221",1,"rep<10%","Female",1,1,"White"
"222",1,"rep<10%","Female",1,1,"White"
"223",2,"rep<10%","Male",3,5,"White"
"224",2,"rep<10%","Male",2,5,"White"
"225",1,"rep<10%","Female",1,2,"White"
"226",1,"rep<10%","Female",3,4,"White"
"227",1,"rep<10%","Male",1,2,"White"
"228",2,"rep<10%","Male",2,4,"White"
"229",1,"rep<10%","Male",1,3,"White"
"230",1,"rep<10%","Male",1,2,"White"
"231",1,"rep<10%","Female",3,4,"White"
"232",2,"rep<10%","Female",2,3,"White"
"233",1,"rep<10%","Female",1,1,"White"
"234",3,"rep<10%","Male",2,2,"White"
"235",1,"rep<10%","Female",3,4,"White"
"236",1,"rep<10%","Female",1,1,"Other race"
"237",2,"rep<10%","Female",1,1,"White"
"238",1,"rep<10%","Female",1,2,"White"
"239",1,"rep<10%","Male",2,1,"White"
"240",1,"rep<10%","Male",2,4,"White"
"241",1,"rep<10%","Male",2,1,"White"
"242",1,"rep<10%","Male",1,1,"White"
"243",3,"rep<10%","Male",3,4,"White"
"244",1,"rep<10%","Male",1,2,"White"
"245",1,"rep<10%","Male",2,2,"White"
"246",1,"rep<10%","Female",3,2,"Asian"
"247",3,"rep<10%","Female",2,3,"Other race"
"248",1,"rep<10%","Female",3,1,"White"
"249",1,"rep<10%","Male",3,4,"White"
"250",1,"rep<10%","Male",2,2,"White"
"251",2,"rep<10%","Female",1,1,"White"
"252",1,"rep<10%","Male",1,2,"White"
"253",1,"rep<10%","Male",1,1,"White"
"254",1,"rep<10%","Male",2,2,"White"
"255",2,"rep<10%","Female",2,2,"White"
"256",1,"rep<10%","Female",2,2,"White"
"257",1,"rep<10%","Male",1,1,"White"
"258",1,"rep<10%","Female",3,4,"Black"
"259",2,"rep<10%","Male",3,5,"White"
"260",1,"rep<10%","Female",1,3,"White"
"261",1,"rep<10%","Male",1,2,"White"
"262",2,"rep<10%","Female",1,4,"White"
"263",2,"rep<10%","Female",3,5,"White"
"264",1,"rep<10%","Female",3,2,"White"
"265",2,"rep<10%","Female",2,4,"White"
"266",1,"rep<10%","Female",1,1,"White"
"267",1,"rep<10%","Female",1,3,"White"
"268",1,"rep<10%","Male",2,2,"White"
"269",2,"rep<10%","Female",3,4,"White"
"270",2,"rep<10%","Female",3,4,"White"
"271",1,"rep<10%","Female",2,2,"White"
"272",1,"rep<10%","Female",1,1,"Black"
"273",1,"rep<10%","Female",2,1,"Other race"
"274",1,"rep<10%","Female",3,2,"White"
"275",2,"rep<10%","Female",2,1,"White"
"276",1,"rep<10%","Female",1,4,"Black"
"277",2,"rep<10%","Male",2,2,"Asian"
"278",2,"rep<10%","Female",3,2,"White"
"279",1,"rep<10%","Male",2,3,"White"
"280",1,"rep<10%","Male",1,2,"White"
"281",1,"rep<10%","Female",2,4,"White"
"282",1,"rep<10%","Male",1,2,"Other race"
"283",2,"rep<10%","Female",2,4,"White"
"284",2,"rep<10%","Female",3,2,"White"
"285",1,"rep<10%","Female",2,2,"White"
"286",1,"rep<10%","Female",3,2,"White"
"287",1,"rep<10%","Male",2,4,"White"
"288",1,"60%>rep>10%","Male",2,1,"White"
"289",1,"60%>rep>10%","Male",1,5,"White"
"290",1,"60%>rep>10%","Male",1,5,"White"
"291",2,"60%>rep>10%","Female",3,4,"White"
"292",2,"60%>rep>10%","Male",3,4,"White"
"293",2,"60%>dem>10%","Male",2,4,"White"
"294",2,"60%>dem>10%","Female",1,3,"White"
"295",3,"60%>dem>10%","Female",2,1,"White"
"296",1,"60%>dem>10%","Female",1,1,"White"
"297",1,"60%>dem>10%","Female",1,1,"Asian"
"298",1,"60%>dem>10%","Male",1,2,"White"
"299",1,"60%>dem>10%","Female",3,3,"White"
"300",1,"60%>dem>10%","Female",2,1,"White"
"301",1,"60%>dem>10%","Female",2,4,"Other race"
"302",2,"60%>dem>10%","Female",3,3,"White"
"303",1,"60%>dem>10%","Male",2,1,"White"
"304",1,"60%>dem>10%","Male",2,3,"White"
"305",1,"60%>dem>10%","Female",3,2,"White"
"306",2,"60%>dem>10%","Male",3,4,"White"
"307",2,"60%>dem>10%","Female",1,2,"White"
"308",2,"60%>dem>10%","Male",2,2,"White"
"309",2,"60%>dem>10%","Male",3,1,"White"
"310",2,"60%>dem>10%","Male",1,2,"White"
"311",2,"60%>dem>10%","Male",1,1,"White"
"312",1,"60%>dem>10%","Male",3,4,"White"
"313",1,"60%>dem>10%","Male",1,2,"White"
"314",1,"60%>dem>10%","Female",1,2,"White"
"315",1,"60%>dem>10%","Female",1,1,"White"
"316",1,"60%>dem>10%","Female",1,1,"White"
"317",1,"60%>dem>10%","Female",1,1,"White"
"318",2,"60%>dem>10%","Female",1,1,"White"
"319",1,"60%>dem>10%","Female",2,1,"White"
"320",2,"60%>dem>10%","Female",1,2,"White"
"321",1,"60%>dem>10%","Female",2,3,"Asian"
"322",1,"60%>dem>10%","Male",2,1,"White"
"323",2,"60%>dem>10%","Female",2,2,"Other race"
"324",2,"60%>dem>10%","Female",3,2,"White"
"325",2,"60%>dem>10%","Male",3,5,"White"
"326",1,"60%>dem>10%","Female",2,2,"White"
"327",1,"60%>dem>10%","Female",1,2,"White"
"328",1,"60%>dem>10%","Male",2,2,"Other race"
"329",1,"60%>dem>10%","Female",1,2,"White"
"330",1,"60%>dem>10%","Female",2,2,"White"
"331",1,"60%>dem>10%","Male",1,1,"White"
"332",2,"60%>dem>10%","Female",1,2,"White"
"333",1,"60%>dem>10%","Female",2,2,"White"
"334",2,"60%>dem>10%","Female",3,3,"White"
"335",1,"60%>dem>10%","Female",1,1,"White"
"336",3,"60%>dem>10%","Female",2,1,"White"
"337",2,"60%>dem>10%","Male",3,1,"White"
"338",1,"60%>dem>10%","Male",2,2,"White"
"339",1,"60%>dem>10%","Male",1,3,"White"
"340",2,"60%>dem>10%","Female",1,1,"Other race"
"341",2,"60%>dem>10%","Female",3,3,"White"
"342",2,"60%>dem>10%","Female",3,2,"White"
"343",2,"60%>dem>10%","Male",3,2,"White"
"344",1,"60%>dem>10%","Female",1,1,"White"
"345",3,"60%>rep>10%","Female",2,2,"White"
"346",2,"60%>rep>10%","Female",2,2,"White"
"347",3,"60%>rep>10%","Male",3,3,"White"
"348",2,"60%>rep>10%","Female",2,1,"Other race"
"349",1,"60%>rep>10%","Female",2,1,"White"
"350",1,"60%>rep>10%","Male",1,1,"White"
"351",1,"60%>rep>10%","Female",2,1,"White"
"352",1,"60%>rep>10%","Male",3,2,"White"
"353",2,"60%>rep>10%","Female",2,2,"White"
"354",1,"60%>rep>10%","Female",1,1,"Black"
"355",1,"60%>rep>10%","Female",1,1,"White"
"356",2,"60%>rep>10%","Female",2,3,"White"
"357",1,"60%>rep>10%","Male",1,3,"White"
"358",1,"60%>rep>10%","Female",1,3,"White"
"359",1,"60%>rep>10%","Male",1,1,"White"
"360",3,"60%>rep>10%","Male",3,1,"White"
"361",1,"60%>rep>10%","Male",3,3,"White"
"362",2,"60%>dem>10%","Female",1,3,"Black"
"363",2,"60%>dem>10%","Male",1,2,"White"
"364",3,"60%>dem>10%","Female",3,1,"White"
"365",1,"60%>dem>10%","Male",2,1,"White"
"366",1,"60%>dem>10%","Male",3,1,"Black"
"367",2,"60%>dem>10%","Female",3,2,"White"
"368",2,"60%>dem>10%","Female",3,2,"White"
"369",1,"60%>dem>10%","Male",1,1,"Black"
"370",1,"60%>dem>10%","Female",2,3,"Black"
"371",1,"60%>dem>10%","Male",2,1,"Black"
"372",2,"60%>dem>10%","Male",2,2,"White"
"373",1,"60%>dem>10%","Female",2,1,"Black"
"374",1,"60%>dem>10%","Male",2,2,"White"
"375",1,"60%>dem>10%","Female",2,1,"White"
"376",1,"60%>dem>10%","Female",2,5,"White"
"377",1,"60%>dem>10%","Female",3,2,"White"
"378",1,"60%>dem>10%","Male",1,1,"Black"
"379",1,"60%>dem>10%","Male",3,1,"Black"
"380",3,"60%>dem>10%","Female",2,1,"Black"
"381",1,"60%>dem>10%","Male",1,1,"White"
"382",1,"60%>dem>10%","Female",1,1,"White"
"383",2,"60%>dem>10%","Female",3,4,"White"
"384",2,"60%>dem>10%","Male",3,3,"Black"
"385",2,"60%>dem>10%","Male",3,4,"White"
"386",2,"60%>dem>10%","Male",3,4,"White"
"387",2,"60%>dem>10%","Female",2,2,"White"
"388",1,"dem>60%","Female",1,2,"White"
"389",2,"dem>60%","Female",2,2,"White"
"390",3,"dem>60%","Female",3,4,"White"
"391",1,"dem>60%","Male",3,3,"Asian"
"392",1,"dem>60%","Male",2,4,"White"
"393",1,"dem>60%","Male",1,3,"White"
"394",1,"dem>60%","Female",1,3,"Asian"
"395",2,"dem>60%","Female",3,4,"Asian"
"396",2,"dem>60%","Female",2,4,"White"
"397",2,"dem>60%","Female",2,3,"Asian"
"398",2,"dem>60%","Female",3,4,"White"
"399",2,"dem>60%","Male",1,3,"Asian"
"400",3,"dem>60%","Male",3,4,"White"
"401",2,"dem>60%","Male",3,1,"White"
"402",1,"dem>60%","Female",2,4,"Asian"
"403",1,"dem>60%","Male",1,1,"Asian"
"404",2,"dem>60%","Male",1,1,"Asian"
"405",2,"dem>60%","Female",3,1,"Asian"
"406",1,"dem>60%","Female",3,3,"Asian"
"407",1,"dem>60%","Female",1,2,"Asian"
"408",2,"dem>60%","Female",1,3,"Asian"
"409",2,"dem>60%","Male",3,5,"Asian"
"410",1,"dem>60%","Male",2,3,"White"
"411",2,"dem>60%","Female",3,1,"Asian"
"412",1,"dem>60%","Male",1,3,"Other race"
"413",1,"dem>60%","Male",3,5,"Asian"
"414",1,"dem>60%","Female",2,1,"Other race"
"415",2,"dem>60%","Female",1,1,"Black"
"416",1,"dem>60%","Male",1,2,"Other race"
"417",2,"dem>60%","Female",2,5,"White"
"418",1,"dem>60%","Female",2,2,"White"
"419",2,"dem>60%","Female",2,2,"White"
"420",2,"dem>60%","Male",2,3,"White"
"421",2,"dem>60%","Female",2,1,"Black"
"422",2,"dem>60%","Female",2,3,"Other race"
